                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.40398,                0.42477,                0.98839,                0.94993,                0.91721,                 0.9706,                0.92255,                0.34265,                0.35241,                 0.8579,               0.001156,               0.001156,               0.001156
                    136,                0.40418,                0.41607,                0.98964,                0.94391,                0.92163,                0.97056,                0.92304,                0.34375,                0.35087,                0.85816,                0.00109,                0.00109,                0.00109
                    137,                0.39714,                0.42246,                0.98839,                0.93388,                0.92734,                0.96961,                 0.9227,                0.34563,                0.35147,                0.85854,               0.001024,               0.001024,               0.001024
                    138,                0.39606,                0.41162,                0.98703,                0.94606,                0.91609,                0.96865,                0.92222,                0.34463,                0.35366,                0.85862,               0.000958,               0.000958,               0.000958
                    139,                0.39806,                0.41352,                0.98873,                0.94564,                 0.9181,                 0.9687,                0.92176,                0.34354,                0.35669,                0.85911,               0.000892,               0.000892,               0.000892
                    140,                0.39468,                0.40904,                0.98418,                0.93709,                0.92623,                0.96835,                0.92236,                0.34545,                0.35573,                 0.8586,               0.000826,               0.000826,               0.000826
                    141,                0.29687,                0.30033,                0.90339,                0.92991,                0.93712,                0.96939,                0.92107,                0.34423,                0.35015,                0.85666,                0.00076,                0.00076,                0.00076
                    142,                 0.2941,                0.27644,                0.90372,                0.94141,                0.93116,                0.97024,                0.92257,                0.34097,                0.34812,                0.85419,               0.000694,               0.000694,               0.000694
                    143,                0.28974,                 0.2649,                0.90023,                0.93988,                0.93402,                0.96978,                0.92267,                 0.3385,                0.34677,                0.85382,               0.000628,               0.000628,               0.000628
                    144,                0.29258,                 0.2763,                0.89814,                0.92559,                0.94484,                0.96961,                0.92199,                0.33614,                0.34659,                0.85199,               0.000562,               0.000562,               0.000562
                    145,                0.28184,                0.25974,                0.89315,                0.94097,                0.92603,                0.96914,                0.92271,                0.33515,                0.34648,                0.85121,               0.000496,               0.000496,               0.000496
                    146,                0.28451,                0.25736,                0.89716,                0.92168,                0.94007,                0.96981,                0.92406,                0.33664,                0.35038,                 0.8521,                0.00043,                0.00043,                0.00043
                    147,                0.28268,                0.25499,                0.89607,                0.92283,                0.93536,                0.96978,                 0.9223,                0.33925,                0.34818,                0.85281,               0.000364,               0.000364,               0.000364
                    148,                0.27673,                0.25214,                0.89589,                0.92096,                0.93723,                0.97031,                0.92337,                0.34102,                0.34771,                0.85394,               0.000298,               0.000298,               0.000298
                    149,                0.28067,                0.24627,                 0.8934,                0.91808,                0.94189,                0.97059,                0.92334,                0.34055,                 0.3447,                0.85421,               0.000232,               0.000232,               0.000232
                    150,                0.27781,                 0.2456,                0.88959,                0.92007,                0.93884,                0.97108,                0.92496,                0.33882,                0.34433,                0.85383,               0.000166,               0.000166,               0.000166
