                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.92443,                0.85312,                 1.4198,                0.88107,                0.92929,                 0.9457,                0.69964,                0.98793,                0.67045,                 1.7655,               0.003235,               0.003235,               0.003235
                     84,                0.92375,                0.82878,                 1.4218,                0.87679,                0.88667,                 0.9336,                0.69828,                 0.9912,                0.74361,                 1.7689,              0.0031525,              0.0031525,              0.0031525
                     85,                0.90544,                0.82848,                 1.4046,                0.91176,                 0.8996,                0.94202,                0.70441,                 0.9917,                0.69246,                 1.7682,                0.00307,                0.00307,                0.00307
                     86,                0.90802,                0.82011,                 1.4041,                0.90411,                0.90562,                0.94643,                0.69803,                 1.0095,                0.68222,                 1.7763,              0.0029875,              0.0029875,              0.0029875
                     87,                0.90988,                0.80647,                 1.4105,                0.90423,                0.90467,                0.94679,                0.69774,                 1.0061,                0.70995,                 1.7718,               0.002905,               0.002905,               0.002905
                     88,                0.91941,                 0.8069,                 1.4179,                0.91876,                0.89384,                0.94562,                0.69944,                 1.0147,                0.69446,                 1.7928,              0.0028225,              0.0028225,              0.0028225
                     89,                0.91556,                0.81544,                 1.4143,                0.93098,                 0.8882,                0.94905,                0.70905,                 1.0231,                0.69567,                 1.8035,                0.00274,                0.00274,                0.00274
                     90,                0.91086,                0.80495,                 1.4109,                0.89882,                0.89297,                0.94958,                 0.7175,                0.97559,                0.68564,                 1.7454,              0.0026575,              0.0026575,              0.0026575
                     91,                0.90604,                0.81173,                 1.4027,                0.91585,                0.90816,                0.95557,                0.72589,                0.99509,                0.65613,                 1.7668,               0.002575,               0.002575,               0.002575
                     92,                0.90626,                 0.7896,                 1.4016,                0.87641,                0.91881,                0.95012,                0.71039,                0.98242,                0.67967,                 1.7498,              0.0024925,              0.0024925,              0.0024925
